date,block,beds,psf,area,price
2017-08-01,6,3,1427,1227,1751000
2017-07-01,8,3,1367,1206,1648000
2017-07-01,2,3,1365,1184,1616000
2017-07-01,12,3,1006,1248,1256000
2017-07-01,12,1,1461,538,786000
2017-07-01,6,4,1359,1464,1989000
2017-07-01,2,3,1366,1151,1572000
2017-07-01,6,4,1371,1464,2006000
2017-07-01,2,3,1040,1765,1835000
2017-07-01,6,3,1397,1184,1654000
2017-07-01,8,4,1381,1486,2052000
2017-07-01,12,2,1401,753,1055000
2017-07-01,8,3,1369,1152,1577000
2017-07-01,8,4,1368,1528,2090000
2017-06-01,2,3,1401,1184,1659000
2017-06-01,8,3,1375,1151,1582000
2017-06-01,12,1,1467,538,789000
2017-06-01,12,1,1488,420,625000
2017-06-01,2,3,1382,1184,1636000
2017-06-01,8,4,1385,1486,2058000
2017-06-01,8,3,1401,1206,1689000
2017-06-01,8,3,1323,1206,1595000
2017-06-01,8,3,1390,1184,1646000
2017-06-01,8,3,1364,1152,1571000
2017-05-01,2,3,1373,1184,1626000
2017-05-01,6,3,1390,1152,1601000
2017-05-01,8,3,1352,1184,1601000
2017-05-01,12,1,1169,592,692000
2017-05-01,8,3,1381,1227,1695000
2017-05-01,2,3,1364,1152,1571000
2017-05-01,12,1,1560,420,655000
2017-05-01,12,1,1494,538,804000
2017-05-01,6,3,1349,1227,1655000
2017-05-01,12,1,1461,538,786000
2017-05-01,12,1,1500,538,807000
2017-05-01,12,1,1531,420,643000
2017-04-01,12,1,1506,538,810000
2017-04-01,12,1,1511,538,813000
2017-04-01,12,1,1506,538,810000
2017-04-01,12,1,1467,538,789000
2017-04-01,8,3,1361,1184,1611000
2017-04-01,12,2,1401,807,1131000
2017-04-01,12,1,1481,420,622000
2017-04-01,12,1,1489,538,801000
2017-04-01,12,1,1552,420,652000
2017-04-01,12,1,1478,538,795000
2017-04-01,12,1,1538,420,646000
2017-04-01,12,1,1560,420,655000
2017-04-01,12,1,1489,538,801000
2017-04-01,12,1,1506,538,810000
2017-04-01,2,3,1403,1184,1661000
2017-04-01,12,1,1538,420,646000
2017-04-01,12,1,1560,420,655000
2017-04-01,12,1,1557,420,654000
2017-04-01,12,1,1579,420,663000
2017-04-01,8,4,1325,1485,1968000
2017-04-01,12,1,1538,420,646000
2017-04-01,12,1,1517,538,816000
2017-04-01,8,4,1276,1507,1923000
2017-04-01,12,1,1538,420,646000
2017-03-01,12,1,1552,420,652000
2017-03-01,12,1,1538,420,646000
2017-03-01,12,1,1538,420,646000
2017-03-01,12,1,1517,538,816000
2017-03-01,12,1,1169,592,692000
2017-03-01,12,1,1169,592,692000
2017-03-01,12,1,1500,538,807000
2017-03-01,12,1,1478,538,795000
2017-03-01,12,1,1545,420,649000
2017-03-01,12,1,1545,420,649000
2017-03-01,12,1,1467,538,789000
2017-03-01,12,1,1564,420,657000
2017-03-01,12,1,1517,538,816000
2017-03-01,12,1,1472,538,792000
2017-03-01,12,1,1552,420,652000
2017-03-01,8,3,1356,1184,1606000
2017-03-01,12,1,1531,420,643000
2017-03-01,12,1,1560,420,655000
2017-03-01,12,1,1467,538,789000
2017-03-01,12,1,1531,420,643000
2017-03-01,12,1,1545,420,649000
2017-03-01,12,1,1552,420,652000
2017-03-01,12,1,1531,420,643000
2017-03-01,12,1,1524,420,640000
2017-03-01,12,1,1538,420,646000
2017-03-01,12,1,1545,420,649000
2017-03-01,8,4,1272,1507,1917000
2017-03-01,2,3,1351,1152,1556000
2017-03-01,8,4,1306,1507,1968000
