date,beds,psf,area,price
2015-03-01,2,3.5,950,3350
2015-03-01,2,2.96,1150,3400
2015-02-01,2,3.2,950,3100
2015-01-01,4,3.27,1350,4500
2015-01-01,2,3.58,950,3400
2014-12-01,2,3.24,1050,3400
2014-10-01,2,3.03,1050,3200
2014-10-01,3,3.1,1250,4000
2014-10-01,2,3.76,950,3400
2014-09-01,3,2.88,1550,4400
2014-09-01,2,3.61,950,3300
2014-08-01,2,3.21,950,3050
2014-07-01,2,3.61,950,3300
2014-07-01,3,2.93,1650,4800
2014-07-01,4,3.63,1350,5000
2014-06-01,3,3.04,1150,3500
2014-06-01,2,3.03,1050,3200
2014-06-01,2,3.16,950,3000
2014-05-01,3,3.07,1250,3700
2014-05-01,2,2.94,1050,3100
2014-05-01,2,3.43,950,3100
2014-04-01,3,3.28,1250,4100
2014-04-01,3,3.56,1350,4800
2014-04-01,3,3.2,1250,4000
2014-03-01,2,3.65,950,3500
2014-03-01,3,3.12,1250,3900
2014-03-01,2,3.76,950,3600
2014-02-01,2,4.09,950,3700
2014-02-01,3,3.21,1150,3700
2014-02-01,2,3.44,950,3300
2014-01-01,3,3.04,1250,3800
2013-12-01,3,3.2,1250,4000
2013-12-01,2,3.26,950,3100
2013-12-01,2,3.33,1050,3500
2013-11-01,2,3.58,950,3400
2013-10-01,2,3.76,950,3400
2013-10-01,3,3.28,1250,4200
2013-10-01,2,3.33,1050,3500
2013-10-01,2,3.71,950,3520
2013-08-01,3,3.51,1250,4500
2013-08-01,2,3.38,1050,3550
2013-07-01,4,3.63,1350,5000
2013-07-01,2,3.32,1050,3500
2013-06-01,3,2.79,1550,4200
2013-05-01,3,3.25,1250,4200
2013-05-01,3,3.2,1250,4000
2013-04-01,2,3.56,1050,3800
2013-04-01,3,3.63,1350,4900
2013-03-01,2,3.91,950,3750
2013-03-01,2,3.55,950,3400
2013-03-01,2,3.71,950,3350
2013-03-01,2,3.32,950,3150
2013-02-01,2,3.44,950,3300
2013-02-01,3,3.21,1150,3700
2013-01-01,3,3.37,1250,4200
2013-01-01,2,4.0,950,3600
2013-01-01,3,3.2,1250,4000
2012-12-01,2,3.24,1050,3400
2012-11-01,3,3.04,1250,3800
2012-11-01,2,3.47,950,3300
2012-10-01,3,3.48,1250,4200
2012-10-01,2,3.89,950,3700
2012-09-01,2,3.22,1050,3400
2012-09-01,2,3.83,950,3500
2012-09-01,3,3.28,1250,4200
2012-09-01,3,4.03,1250,5200
2012-09-01,2,3.38,1050,3600
2012-08-01,3,3.6,1250,4500
2012-08-01,2,3.65,950,3500
2012-08-01,2,3.76,950,3400
2012-08-01,3,3.32,1250,4150
2012-07-01,3,2.88,1550,4400
2012-07-01,4,3.63,1350,5000
2012-07-01,3,2.99,1250,3600
2012-07-01,3,3.2,1250,4000
2012-07-01,2,3.52,1050,3700
2012-07-01,3,2.96,1350,4000
2012-05-01,3,2.98,1550,4500
2012-04-01,4,3.48,1350,4800
2012-04-01,3,3.2,1250,4000
2012-04-01,3,3.33,1350,4500
2012-03-01,2,3.03,1050,3200
2012-03-01,3,3.36,1250,4200
2012-03-01,2,3.16,950,3000
2012-02-01,3,3.47,1150,4000
2012-02-01,2,3.89,950,3700
